question,class,label
На ЭКГ в 3 пк? Я записалась сегодня,1,0.0
Где сделать лазерную эпиляцию ? Спасибо,1,1.0
Дезинфекция. Сотрудники стали меньше болеть. Совпадение? - не знаю,1,1.0
1 к2 можно хоть какую то воду? Хоть ледяную хоть ржавую?🙏🏼,1,0.0
"админы ведь живут на гавайях? если нет, то смысла не вижу",0,0.0
"А обязательно на учете стоять чтобы на курсы приняли? Я вот трудоустроена, но образования профильного не имею, соотвенно при сокращении я в группе риска. Примут меня на курсы?",1,1.0
"Ого.. а как обтирания делали, поделитесь? Завтра попробую, если продолжится",1,0.0
Есть ли у нас толковый **сантехник** в же? Очень нужна помощь по починке сливной системы на кухне,1,1.0
"Девочки, я как тут с айхербом дела? Есть какие-то ограничения по количеству банок в заказе и тд? Как долго идёт заказ? Поделитесь пожалуйста опытом кто заказывал 🙏",1,1.0
"а этаж? У меня 14, норм все",1,0.0
На хрена? Он же в лч играл бы,1,0.0
"Добрый вечер! Девочки, кто-то делал своему ребёнку пластику уздечки языка? 👅",1,1.0
"Девушки, может быть кто нибудь едет в ближайшие дни на улувату и потом обратно в убуд? Нужно передать очень маленькую посылочку 😊 отзовитесь 🙏",0,0.0
"Девочки, привет. У кого у деток аллергия на куриный белок как вы ставили прививку от кори? И какую? 🙏🙏",1,1.0
Взрослая травмотология в иркутске где? Куда обращаются при травмах? На борцов революции?,1,1.0
Вы в какую клинику ходите?  К какому то определённому врачу?,0,0.0
"Спасибо, подскажите, сейчас какой вообще алгоритм??? Не могу понять",1,0.0
"Девочки, может ли 1.5 годовалый ребенок питаться только титей и быть сытым? Меня уже трясет. Дочь не есть абсолютно в течении 1,5-2 месяцев. Сначала я воспринимала это как норму, ну типо бывает, потом у нее лезли зубы. Сейчас уже все вылезли, кроме клыков, которые еще и не намечаются, а она все-равно не ест. Садимся к примеру завтракать, я ем кашу, дочь старшая есть кашу, маленькая как только видит, что хочу дать ей ложку, начинает орать ""нееет"" и отталкивает мою руку с ложкой. Ставлю тарелку к ней и даю ложку, она не приближается даже к ней. Тоже самое повторяется еще 3-4 раза в сутки. Из моей тарелки не пытается достать еду. Еда ее вообще не интересует. Как быть? Что делать? Как долго это будет продолжаться? Это вредность или может болит что-то и пора к врачу? Подскажите, я уже на грани истерики.",0,1.0
"О, а чего вы еще с Валей близко не познакомитесь? 😂",0,0.0
а почему бы свои блобы тупо не подсовывать? или в прошивку или отдельно инсмодить,1,1.0
"А чо я те сердечки кидаю, а ты мне нет... АаАА?? 😡",1,0.0
А что писали? Почему мое обращение не модерацию не прошло?,1,0.0
"Девочки. Как приобрести удалённо страховку? Если я нахожусь на Бали, то не могу ведь приобрести ее. Т.е если летим на визу, в Малайзии можно купить. Вопрос, где и как вы покупаете или продлеваете страховки)",0,1.0
"Добрый день, подскажите кто лечил деткам зубки до двух лет под медикаментозныМ сноМ? ...где? У кого? Сколько стоит? Как ребенок перенес? Достаточно ли одного раза?....",1,1.0
"Девочки, а кто-то делал мебель на заказ? Хочу сделать стеллаж для игрушек ребенку, а оказывается в мастерских рядом с моим домом всю мебель делают из заготовок с Явы, а по моим размерам это будет не меньше месяца, а то и больше. Может кто знает мастерскую где за недельку можно стеллаж 2 метра длиной и 90 см высотой сколотить?",0,1.0
может когда влюблен? ),1,0.0
А урон какой? Тебе самому то он понравился?,1,0.0
Почему нашему правительству можно своими действиями нарушать закон а мне нельзя? Карантин. Экстренная ситуация. Это мой способ борьбы с кризисом. Считайте что потерпеть меня это ваш вклад в подъем экономики.,1,0.0
Что в итоге с уткой? Вопрос решён!? Зажарили?,1,0.0
"С животом точно все нормально? Лекарств не даёте новых? Стали гулять больше, показывать больше малышу, начал рассматривать?",1,0.0
А во сколько ложитесь? И сколько ребёнку сейчас?,1,0.0
"Не-а, их она сжигает через премиум аккаунт.. Может на яхту плачет? Эпл вотч уже заимела..",1,0.0
"Конечно согласятся, куда им деваться-то?? 😂😂😂",1,0.0
"Мамы, у кого-нибудь знакомые или родные сидят на карантине? Муж приехал из Бурятии, сейчас сидит дома один как положено две недели. Придут ли к нему врачи брать анализы на короновирус?",1,1.0
Так мало? Даже пилон не протрешь,0,0.0
Добрый день всем! Кто-нибудь покупал в Иркутске муравьиную ферму? Поделитесь контактами и отзывами,1,1.0
"Девочки, доброе утро . Подскажите пожалуйста качественную лазерную эпиляцию? Кто делал здесь ?)",1,1.0
"Девочки, кто-то проводит медитации? Или йога-нидра? 🙏",1,1.0
Вы точно определили что на зубы? У меня всегда сомнения),0,0.0
Через какое время? Уже больше месяца как я подала заявление,1,1.0
Куда? я ещё есть),1,0.0
"Добрый день. Родители, чьи дети ходят в муницип.сад у вас в последнее время не краснели у детей щеки и руки по типу цыпок? У сына стали постоянно руки краснеть, я думала обветренные. Но родители стали жаловаться, что у многих так же. И в морозы они не гуляли, а покраснение появилось. Думаю с чем может быть связано",1,1.0
"Согласна с Вами всецело 👍🏽 уважение оно должно быть взаимным это нас должно отличать от зверушек 🙏🏼то что на газончиках какают собачки мы быстро проехали потому что ночью собачку вывести в лес это страшновато😂 (рискну предположить что у Вас есть собачка и нет детей)! И да, у годовалых, двух и трёх годовалых детей есть матери и никто не будет прикрываться! Мы не разрешаем своим детям гулять по газонам и просим владельцев питомцев следить где какают их любимцы! Мне кажется так правильно, да? Призываю вас не наезжать и не сарказмировать а уважать друг друга! Дети должны гулять на площадке, а собачки какать в лоточек или пакетик! Идеальный расклад 👍🏽",0,0.0
"Добрый день. Напомните, пожалуйста. Ребёнку 1,4, проснулась с сопельками, в этом возрасте уже можно аквалор-душ? Сначала аквалор, потом откачать, если их много? А називин нужно или пока повременить с ним?",0,1.0
"Т.е. личные авто можно аж в третий ряд, да перегораживая выезд, а каршерингу нельзя? :)
Что за двойные стандарты? Или в правилах особые условия для кого-то?",1,1.0
разве? и чем закончилось?,0,0.0
Ну как же?? Ук говно и все в том же духе 🙈😂,0,0.0
Фильм авиатор видели? Там ди Каприо оч талантливо показывает изнутри мучения человека с окр,1,0.0
Сколько не какает? На гв или с прикормом?,1,1.0
То есть не от них зависит? Тогда как найти биом?,1,0.0
"Как нашли выход в таких ситуациях в итоге? 
Поделитесь пожалуйста опытом 🙏

У меня сейчас сильное переживание за сына и за себя 😭",0,0.0
"Добрый день! Подскажите, пожалуйста, где можно распечатать файлы? Может у метро что есть?",1,1.0
"Какой? ПИК при строительстве, ПИК-Комфорт управляющая или по мусору?",1,0.0
Здорово) Добавляю в группу тогда? А где на карантине?,1,0.0
"Что значит покашливает? Ещё какие-то симптомы есть?
А вообще, врача вызвать, чтобы послушал)",1,1.0
"Девушки, здравствуйте! 
Срочно! Есть контакты доул на Бали? 
Нужен человек , который поможет при расцеживании лактостаза?🙏🏻🙏🏻🙏🏻🙏🏻",1,1.0
А сейчас не так? Добро пожаловать)),1,0.0
А что это за выплата? И куда обращаться?,1,1.0
"Привет всем! Извините, если не по теме дня, но может быть посоветуете. Девушки, у кого-нибудь муж носит фитнес браслет, как ощущения, нравится ему или нет? Просто ищу подарок для мужа, и совсем не могу определиться... 🤔",1,0.0
Што это? Как? Мне Тебя Бешено Жаль?,1,0.0
"девочки, что тут можно посоветовать? 

""сын ( 3года) жаловался ночью и вот теперь днём, что болит писун. На кончике и когда крайнюю плоть немного отодвигаешь. Писать не больно, а вот после больно.
Что это такое???""",1,1.0
"Привет, девчонки кто что-то заказывал с токопедии? Подскажите как оплачивать и как правильно ввести адрес, чтоб пришёл куда нужно 🙏",1,1.0
Вы делали доставку чего-нибудь крупного из икеи на Бали? Какие сроки/стоимость?,0,1.0
"да нужна вам медсестра? не ходят и ладно. Помню, только уложишь и сама прикорнешь, тут как тут🙈",0,0.0
Вы веган? Я слышала что месячные могут пропасть из за этого,0,0.0
Девочки подскажите пожалуйста - сейчас обнаружила на сайте что мы направлены в детский сад. Что теперь ? Звонить заведующей? Как вообще это проходит?,1,1.0
"Ну вот, опять не дают поработать дома... интернет, ауууу... куда звонить? Тех поддержка работает?",0,1.0
"Точно знаю, он ведь злой такой как овчарка у нас почему? Потому что женщины красивой блондинки рядом нет, с перспективой на будущее",1,0.0
