question,gpt-oss-20b,gpt-oss-120b,llama-4-scout,llama-4-maverick,qwen3-14b,qwen3-32b,qwen3-235b-a22b
"Девушки, кто-нибудь подал на увеличение пособия 3-7 через госуслуги? Не могу
найти там это заявление",1,1,1,1.0,1,1.0,1
"А вы первый раз подавали? Я повторно, просто",1,1,1,0.0,0,1.0,1
"Что вы тогда переживаете? У вас справка на руках. Если у вас хороший врач то
вряд ли она вас выписала бы. Плюс да, через 7 дней вы вряд ли уже заразны)",0,0,0,0.0,0,0.0,0
"Победа, можно личный вопрос на публику? Даже два..",1,0,0,0.0,0,0.0,0
"Доброе утро,скажите,пожалуйста,а есть у нас в жк,кто помыть окна может?
Поделитесь контактами,пожалуйста🙏🏻",1,1,1,1.0,1,1.0,1
"да нефтепродукты это, вы на заправке никогда не были? бензином краску с одежды
никогда не смывали?",0,0,0,0.0,0,0.0,0
"Привет, девочки! Есть тут фотограф и оператор? Нужны для семейной фотосессии📸",1,1,1,,1,1.0,1
"Девушки, подскажите, пожалуйста, купила билеты в Сингапур, а визу сделать не
усеваю. Путешествую Бали-Сингапур-Бали с 17-19 декабря. Если взять билет в Куала
Лумпур в один день с разницей в несколько часов для вылета из Индонезии и
вернуться в Сингапур будет ли все хорошо? Кто-то делал так?очень хочется увидеть
город и чтоб билеты не пропадали, уже выкупленные..))",1,1,1,1.0,1,1.0,1
"Девушки, кто недавно на ваилдбериз заказывал? Какая сейчас схема? Я заказываю
доставку курьером и сразу оплачиваю онлайн, курьер все приносит и уходит. Я дома
примеряю. Если что то не подошло, уношу в пункт выдачи и сдаю. Деньги мне
приходят на счёт вб и я в последующем могу оплачивать ими покупки или перевести
на карту. Так?",1,1,1,,1,0.0,1
Зачем мне это? 🧐 Это плюсы для меня в твоей характеристике как-то добавляет?,1,1,0,0.0,1,0.0,0
И стали спать лучше? С бОльшим интервалом?),1,1,0,0.0,1,0.0,0
"Девочки, сколько проходят симптомы ротовируса? Неделю уже понос, рвота
периодически если пересосет (в общем не более 1-2 раз в сутки и понос 1 раз)
ребёнку 1,4 г.. не ест больше ничего, вялая совсем.",1,1,1,1.0,1,1.0,1
"А у кого-то был кашель? Подскажите что пить от него, сухой кашель, и голос
пропадает. Уже вторую неделю. Нет других симптомов",1,1,1,1.0,1,1.0,1
И какую версию опенврт шьёте? Попробуйие снэпшот последний,1,1,1,1.0,1,1.0,1
Ты же работаешь? Мы из-за тебя не выходим!,1,0,0,0.0,0,0.0,0
"Девочки, привет! Кто сегодня уже гулял на улице, во что ребёнка одевали? 1,4
девчонке, думаю кроссовки одевать, колготки, майка, костюм тёплый и сверху
ветровка",1,1,1,1.0,1,1.0,1
а какие цены? какой вид массажа она практикует?,1,1,1,1.0,1,1.0,1
"Всем привет 👋  Девочки подскажите пожалуйста, кто занимается сведением ТАТУ ?
Может  каком салоне видели ?",1,1,1,1.0,1,1.0,1
"Девочки, важный вопрос.  Может у кого-то есть старый убитый серф? Заберу с
удовольствием 🙏🏻",1,1,1,1.0,1,1.0,1
??? челюсть?,1,1,0,0.0,0,0.0,0
