id,text,label
6,"Ребят,а кто-то может сориентировать по цене однушек, я одна девушка с котиком😁 и реально ли найти что-то до 500$ или около того?",1
12,Как быстро вообще находится квартира?,0
18,"Кто нибудь знает, в каком формате тут нужно делать резюме?",1
30,Нашли?,0
33,Есть вакансии для копирайтеров?,0
34,"Анна, у вас есть резюме?",0
39,"Спасибо огромное за ответ. Скажите, какие расценки в среднем? Скоро планирую прилететь. Опыт большой. Продающие тексты, посты, SEO, знаю схемы запусков и особенности текстов для разных соц.сетей.",1
64,По поводу самозанятого и ИП. Про жить больше 193 дня это на ИП тоже распространяется? Или только для самозанятых?,1
135,А можно расписать процесс от приезда в страну до получения? Что потребуется ?,0
150,"Для открытия же нужен ЭЦП, правильно?",0
175,Может кто-то знает?,0
255,Какой банк дает корону зачислять на карту? В приложении банка или короны? Я на капитал не смог... Но мне что-то вообще не везет с конвертациями и даже с пополнением счета наличкой проблемы,0
301,"Добрый вечер, может кто-нибудь посоветует местное digital агентство, специализирующееся на проектировании и дизайне сложных интерфейсов?",1
302,"Добрый вечер,
Можете поделиться с резюме в лс?",0
310,"Всем привет.
Коллеги может кто подскажет. Получил сертификат ЭЦП в центре госуслуг в Ташкенте. Но он никак не хочет устанавливаться на MacOS. Видимо алгоритм шифрования Узбекского ГОСТа. Никто не сталкивался?",1
352,Куда войти?,0
446,"нужен временный vpn  из  🇺🇿 
для проверки работы 
как его сделать? можно на день",1
548,"Почему именно PayPal ? :)

Вед это старая система.

Сейчас самое распространенное это Stripe",0
595,Есть тут вообще стартапы из Узбекистана работающие на западных рынках? Как вы принимаете оплату с западных карт?,0
598,Счёт это понятно. А эквайринг для карт какой используете?,0
630,"Добрый вечер друзья ! 
Есть ли специалисты работающие в сфере информационных технологий в здравоохранении ? 
Мы планируем запустить платформу в сфере медицины",0
659,подскажите а у всех операторов если симка на нерезиденте она не включается в РФ или мне так подвезло ?,1
661,оформлена на россиянина ?,0
764,"Есть кто умеет создать телеграм бот для обмен валют?  Автоматически обмен 24/7. 
Направления yoomoney, qiwi, payeer, advcash, usdt uzcard/humo",0
780,это сарказм или правда ? я в этих мильенах пока не силен,0
