question,class,label
"Девушки, кто-нибудь подал на увеличение пособия 3-7 через госуслуги? Не могу найти там это заявление",1,1
"А вы первый раз подавали? Я повторно, просто",0,0
"Победа, можно личный вопрос на публику? Даже два..",1,0
"Доброе утро,скажите,пожалуйста,а есть у нас в жк,кто помыть окна может? Поделитесь контактами,пожалуйста",1,1
"да нефтепродукты это, вы на заправке никогда не были? бензином краску с одежды никогда не смывали?",0,0
"Девушки, подскажите, пожалуйста, купила билеты в Сингапур, а визу сделать не усеваю. Путешествую Бали-Сингапур-Бали с 17-19 декабря. Если взять билет в Куала Лумпур в один день с разницей в несколько часов для вылета из Индонезии и вернуться в Сингапур будет ли все хорошо? Кто-то делал так?очень хочется увидеть город и чтоб билеты не пропадали, уже выкупленные..))",0,1
И стали спать лучше? С бОльшим интервалом?),0,0
И какую версию опенврт шьёте? Попробуйие снэпшот последний,0,1
Ты же работаешь? Мы из-за тебя не выходим!,0,0
а какие цены? какой вид массажа она практикует?,1,0
??? челюсть?,1,0
А такой можно стирать? Где покупали?,1,0
Чем докажете? ,1,0
То есть сразу после Манту на третий день? Как проверили ?,1,1
В компании нет других мастеров? Или он один вся компания?,1,1
"Мамы, а про такую выплату кто нибудь слышал уже? Или это фейк?",1,1
"Сейчас это в каком возрасте? Я с рождения одеваю, не пеленаю",0,0
Ссылку можно на информацию? Просто она устарела),1,1
в лицо мне это скажешь? интернет герой,1,0
"По разным версиям 3 или 6 место. В любом случае - топ 10, как не сходить? )))",0,1
и че делать? У меня носоглотка воспалилась,1,1
Да ладно ? А какой адрес,0,0
Мне кажется для горла полезно...? На ногах же много точек,1,0
"В каком месте жжение? По шву? У меня 2 КС, не было такого",0,0
"Блин, а если йод противопоказан? Как она узнает это?",1,1
Все люди по-твоему хитрые и изворотливые? По умолчанию?,1,0
Какая между ними разница? Микро - маленький райончик.,1,1
"Не неси пургу, Гуми, опять на фазенде своей напился ? ))",1,0
Вотсап? К кому ? ,1,0
Что опять за нах. На Сосновой? Где свет?,1,0
"Это про те трубы, что по паркингу шли и замёрзли? Вот блин",0,0
"Есть живые? Человеку помочь нужно, он не может  выбраться с -1 этажа",1,0
"Девочки, привет! кто шугаринг в Убуде может сделать? завтра ",1,1
Никак не связаться? Так его информация была более достоверной,1,0
Серьезно? Ирина Вадимовна в декрет ушла? :) Рада за неё:),1,0
"Ой, мама дорогая, при ангине тоже ставить???  остановите землю- я сойду.",1,0
"Девочки, кто водил детей на грудничковое плавание? Дайте отзыв пожалуйста",1,1
"Очень давно играл, все забыл. Как играть? ",1,0
Всм обижаться? Ты не понял что я написал?,1,0
"Девочки, подскажите где можно купить тампоны? Не могу найти. Спасибо ",1,1
Точно? Я просто видел где гоблину дают меч и он мне даёт сломаный,1,0
А где лосось ловится? В реке летом?,1,1
Так землю распродают там или нет ? Плохо или хорошо- понятие относительное...,0,0
что полезного нипы торгуют во время кровавой луны? Посоветуйте,1,1
С заказать не хотите с лазады? Самые дешевые там.,1,0
Ты так и не понял что-ли поч дурачком себя выставил? Насчёт тундры),0,0
А может четверничёк? ,1,0
"Где найти адамантит? У меня он есть, но я не понимаю где точно он",1,1
И вообще одежду и саронги посмотреть? Шаровары? Убуд,0,1
Что это? Аптекарь не выдал...,1,0
Девочки! Кто делал логопедический массаж? Контакты? Отзывы?,1,1
Бля ты дурак? Выше писал,1,0
"Ну и где? Где твоя Валерия??? Это Я!!! Я, кто всегда с тобой!!!",0,0
И чо? Где все? Мне скучно. Скоро пара начнется. Через 2 часа.,0,0
"Девчат, был кто-нибудь на полях Жатилувих? Стоит посещения?",1,1
"А тейпирование не пробовали? У нас такое вообще делают, не знаете?)",0,0
