"question_clean","answer_clean"
"Ребят, кто-нибудь может рассказать примерную цену однушек? Я одна девушка с котиком и возможно ли найти что-то в пределах 500 долларов или около этой суммы?","Недавно друг всёлился за эту цену на космонавтах"
"Ребят, а кто-то может сориентировать по цене однушек? Я одна девушка с котиком и реально ли найти что-то до 500$ или около того?","Нашли?"
"Кто-нибудь знает, в каком формате здесь нужно делать резюме?","Да, я такой чайник."
"Кто-нибудь знает, в каком формате здесь нужно делать резюме?","Используется формат так называемой ""объективки"", думаю, в крупных компаниях ей будет удобнее. Но средний/малый бизнес вполне принимает формат."
"Спасибо за ответ. Какие в среднем расценки? Скоро планирую приехать. Имею большой опыт: создаю продающие тексты, посты, занимаюсь SEO, понимаю схемы запусков и особенности текстов для различных соцсетей.","Пожалуйста. Ну, зависит от навыков. Я точно не уверен, но думаю, начинается от 500$."
"По поводу самозанятого и ИП. Про проживание более 193 дней — это правило распространяется на ИП так же, как и на самозанятых? Или оно действует только для самозанятых?","Вроде только для самозанятного"
"Добрый вечер, может кто-нибудь посоветовать местное digital-агентство, специализирующееся на проектировании и дизайне сложных интерфейсов?","Добрый вечер. Можете поделиться резюме в личные сообщения?"
"Добрый вечер, может кто-нибудь посоветовать местное digital-агентство, специализирующееся на проектировании и дизайне сложных интерфейсов?","</think>"
"Всем привет. Коллеги, может, кто-то подскажёт: получил сертификат ЭЦП в центре госуслуг в Ташкенте, но он не устанавливается на macOS. Наверное, проблема в алгоритме шифрования по стандарту ГОСТа Узбекистана. Никто не сталкивался с подобным?","С макаронами это беда"
"Нужен временный vpn из для проверки работы. Как его сделать? Можно на день.","Рекомендую воспользоваться Tailscale."
"Нужен временный vpn из для проверки работы. Как его сделать? Можно на день.","</think>"
"Подскажите, у всех операторов сим-карта, зарегистрированная на нерезидента, не включается в РФ или это случайное совпадение?","Ucell работает в РФ."
"Онлайн-конвертация для нерезидентов от Ravnaq Bank

Я писала о том, как легко открыть карту в Узбекистане, и о том, что крупные банки не предлагают онлайн-конвертации для нерезидентов. 

Однако у Ravnaq Bank эта функция доступна давно. Она работает только с Тинькофф на данный момент. 

Что нужно сделать? 

Нужно лично прийти в банк, чтобы оформить пластиковую карту Visa/MasterCard и скачать приложение RBK Mobile. 
В приложении откройте виртуальную карту Humo, а в приложении Tinkoff совершите перевод на карту Humo, выбрав в списке банк Ravnaq. 
На странице виртуальной карты Humo нажмите кнопку «Конвертация», выберите карту и нужную сумму, чтобы перевести средства на Visa/MasterCard. 

Чтобы открыть счёт и вывести деньги — в меню выберите вкладку «Счета» и откройте счёт в выбранной валюте (UZS, RUB, USD, EUR). Далее совершите перевод по номеру счёта через приложение своего банка на счёт в приложении RBK Mobile.","Спасибо!

А быстрый вопрос: Тинькофф там свою высокую комиссию не включает, как с переводами на Золотую Корону?"
"Привет, знаете, можно ли где-то взять монитор напрокат?","Напишите в группе Facebook: «Пользователь, с большой вероятностью кто-то с вами поделится»."
"Привет, знаете, можно ли где-то взять монитор напрокат?","напрокат! я даже не додумался до этого! тоже буду искать"
"Кто-нибудь хочет собраться где-нибудь, посидеть, поболтать (можно и про IT), познакомиться? Я, кстати, занимаюсь фронтендом.","Хорошая идея"
"Кто-нибудь хочет собраться где-нибудь, посидеть, поболтать (можно и про IT), познакомиться? Я, кстати, занимаюсь фронтендом.","Я бы в кальянную сходил, если есть те, кто любит курить. О себе: ИТ-предприниматель, разработчик и маркетолог."
"Кто-нибудь хочет собраться где-нибудь, посидеть, поболтать (можно и про IT), познакомиться? Я, кстати, занимаюсь фронтендом.","Тут почти каждый вторник ребята собираются на завтрак @ngTashkent"
"Кто-нибудь хочет собраться где-нибудь, посидеть, поболтать (можно и про IT), познакомиться? Я, кстати, занимаюсь фронтендом.","Добрый вечер! Интересно было бы встретиться и познакомиться. У нас как раз есть компания в направлении IT. Возможно, найти какие-то общие интересы."
"Коллеги, посоветуйте, какой-нибудь сервис, которым можно отправить вещи из России в Ташкент? Все детские книги и игрушки не получается взять с собой.","Откуда именно из РФ?"
"Коллеги, посоветуйте, какой-нибудь сервис, которым можно отправить вещи из России в Ташкент? Все детские книги и игрушки не получается взять с собой.","Я знаю, есть наши так называемые почтальоны, которые ездят туда-сюда на газелях. Думаю, они привезли бы за дешево, чем другие сервисы."
"Коллеги, посоветуйте, какой-нибудь сервис, которым можно отправить вещи из России в Ташкент? Все детские книги и игрушки не получается взять с собой.","Официальная логистическая компания. Обращайтесь."
"А что там по цене у них? За кг берут или за объём?","5$ за кг"
"Могу ли я спросить, как сейчас работает Skype? Есть ли проблемы или всё уже исправлено?","Сегодня в Skype был Сег. Проблем не было."
"Для индивидуального предпринимателя (ИП) обычно требуется отдельный расчётный счёт, оформленный на имя бизнеса, чтобы разделить личные и коммерческие финансовые операции. Использование личного счёта может вызвать сложности при работе с налоговой инспекцией или партнёрами. Однако точные требования зависят от типа применяемой системы налогообложения и организационных особенностей. Для уточнения рекомендуется проконсультироваться с юристом или бухгалтером.","В банке открывается отдельно."
"Для индивидуального предпринимателя (ИП) обычно требуется отдельный расчётный счёт, оформленный на имя бизнеса, чтобы разделить личные и коммерческие финансовые операции. Использование личного счёта может вызвать сложности при работе с налоговой инспекцией или партнёрами. Однако точные требования зависят от типа применяемой системы налогообложения и организационных особенностей. Для уточнения рекомендуется проконсультироваться с юристом или бухгалтером.","У ИП должен быть расчетный счет для ведения предпринимательской деятельности."
"Добрый день!  
Ребята, может, кто сталкивался: есть подписка на VPN CyberGhoct, при использовании он полностью блокирует местный интернет. Может, кто знает, как решить эту проблему с VPN?","Добрый день, Алексей. Возможно, конфликт с фаерволом антивируса. В теории не должно блокировать. В выходные и по вечерам у меня есть время — могу посмотреть."
"Добрый день!  
Ребята, может, кто сталкивался: есть подписка на VPN CyberGhoct, при использовании он полностью блокирует местный интернет. Может, кто знает, как решить эту проблему с VPN?","Приветствую. Блок на местном уровне от центрального провайдера. Нужно пробовать разные ВПН-провайдеры. Какой-нибудь будет работать. Hot Spot Shield, вроде, бесплатная версия даже работает."
"Всем привет! Есть ли у кого-нибудь опыт использования роутеров вроде MikroTik LtAP mini LTE kit в Узбекистане? Это устройство на две SIM-карты, которое позволяет подключаться к LTE/3G и раздавать Wi-Fi. В России он у меня всегда в рюкзаке — очень часто выручает.","Какие проблемы вы ожидаете с ним?"
"Всем привет! Есть ли у кого-нибудь опыт использования роутеров вроде MikroTik LtAP mini LTE kit в Узбекистане? Это устройство на две SIM-карты, которое позволяет подключаться к LTE/3G и раздавать Wi-Fi. В России он у меня всегда в рюкзаке — очень часто выручает.","Система регистрации UZIMEI активна. После регистрации GSM-устройств необходимо произвести платную регистрацию. В противном случае устройства будут заблокированы в течение месяца."
"Всем привет! Есть ли у кого-нибудь опыт использования роутеров вроде MikroTik LtAP mini LTE kit в Узбекистане? Это устройство на две SIM-карты, которое позволяет подключаться к LTE/3G и раздавать Wi-Fi. В России он у меня всегда в рюкзаке — очень часто выручает.","Тем, кто как и я будет искать ответ на этот вопрос: вы можете использовать это устройство без регистрации."
"Привет! Сейчас с ПЦР можно заехать?","Да можно"
"Возникают ли проблемы с подключением к VPN через Cisco AnyConnect в Узбекистане?","Привет, у меня работает."
"Возникают ли проблемы с подключением к VPN через Cisco AnyConnect в Узбекистане?","Работает"
"Кто-нибудь знает, где можно снять валюту с белорусской визы?","hamkorbank"
"Нужно ли разрешение на въезд от одного из родителей для несовершеннолетних детей?","Одни летят?"
"Справки о прививках? Или ещё какие-то документы могут потребоваться?","Мы уже забрали все школьные документы. Ранее просили документ из местной школы, подтверждающий их готовность принять нас на 4-ую четверть."
"Здравствуйте, коллеги! Подскажите, кто знает, какая в Узбекистане средняя зарплата для системного администратора?","Посмотри на"
"Здравствуйте, коллеги! Подскажите, кто знает, какая в Узбекистане средняя зарплата для системного администратора?","Системные администраторы — разные."
"Здравствуйте, коллеги! Подскажите, кто знает, какая в Узбекистане средняя зарплата для системного администратора?","Некоторые люди меняют бумагу в принтере, а есть нормальные сотрудники, которые работают правильно."
"Всем доброго вечера. Если кто-то в теме, есть в Узбекистане VPS/VDS хостинг 5 GHz?","Такого точно нет в Узбекистане."
"Всем доброго вечера. Если кто-то в теме, есть в Узбекистане VPS/VDS хостинг 5 GHz?","Есть физический сервер с частотой до 4 ГГц, если интересно."
