question,class,label
"Девушки, кто-нибудь подал на увеличение пособия 3-7 через госуслуги? Не могу найти там это заявление",1,1
"А вы первый раз подавали? Я повторно, просто",0,0
"Что вы тогда переживаете? У вас справка на руках. Если у вас хороший врач то вряд ли она вас выписала бы. Плюс да, через 7 дней вы вряд ли уже заразны)",0,0
"Победа, можно личный вопрос на публику? Даже два..",1,0
"Доброе утро,скажите,пожалуйста,а есть у нас в жк,кто помыть окна может? Поделитесь контактами,пожалуйста🙏🏻",1,1
"да нефтепродукты это, вы на заправке никогда не были? бензином краску с одежды никогда не смывали?",0,0
"Привет, девочки!
Есть тут фотограф и оператор? Нужны для семейной фотосессии📸",1,1
"Девушки, подскажите, пожалуйста, купила билеты в Сингапур, а визу сделать не усеваю. Путешествую Бали-Сингапур-Бали с 17-19 декабря. Если взять билет в Куала Лумпур в один день с разницей в несколько часов для вылета из Индонезии и вернуться в Сингапур будет ли все хорошо? Кто-то делал так?очень хочется увидеть город и чтоб билеты не пропадали, уже выкупленные..))",0,1
"Девушки, кто недавно на ваилдбериз заказывал? Какая сейчас схема? Я заказываю доставку курьером и сразу оплачиваю онлайн, курьер все приносит и уходит. Я дома примеряю. Если что то не подошло, уношу в пункт выдачи и сдаю. Деньги мне приходят на счёт вб и я в последующем могу оплачивать ими покупки или перевести на карту. Так?",0,1
"Зачем мне это? 🧐
Это плюсы для меня в твоей характеристике как-то добавляет?",1,0
И стали спать лучше? С бОльшим интервалом?),0,0
"Девочки, сколько проходят симптомы ротовируса? Неделю уже понос, рвота периодически если пересосет (в общем не более 1-2 раз в сутки и понос 1 раз) ребёнку 1,4 г.. не ест больше ничего, вялая совсем.",1,1
"А у кого-то был кашель? Подскажите что пить от него, сухой кашель, и голос пропадает. Уже вторую неделю. Нет других симптомов",1,1
И какую версию опенврт шьёте? Попробуйие снэпшот последний,0,1
Ты же работаешь? Мы из-за тебя не выходим!,0,0
"Девочки, привет! Кто сегодня уже гулял на улице, во что ребёнка одевали? 1,4 девчонке, думаю кроссовки одевать, колготки, майка, костюм тёплый и сверху ветровка",1,1
а какие цены? какой вид массажа она практикует?,1,0
"Всем привет 👋 
Девочки подскажите пожалуйста, кто занимается сведением ТАТУ ? Может  каком салоне видели ?",1,1
"Девочки, важный вопрос. 
Может у кого-то есть старый убитый серф? Заберу с удовольствием 🙏🏻",1,1
??? челюсть?,1,0
"А в каком режиме отель будет работать? Я писала в один и мне сказали, что я должна находиться в номере и запастись едой, потому как обслуживающего персонала не будет в этот день и соответственно ресторан тоже работать не будет",0,0
А такой можно стирать? Где покупали?,1,0
"‼️‼️‼️‼️Девочки! Что делать! Вчера Ребёнка с утра укусил в лоб(непонятно кто), помазала карандашом после укуса, после дневного сна опухла и покраснела часть лба, причем нормально так вздулась. На ночь закапала капли виброцил по 2к в каждую ноздрю. Сейчас сморю припухлость как бы вниз спустилась, затек глаз как у китайского пчеловода 😭😭😭😭что делать?! Есть фенестил. Куда-то ехать надо? Какова тактика в подохных ситуациях? Температуры нет. Если потрогать-не больно судя по всему. Через сон чешет. Выглядит душераздирающе. Ребенку 1,3",1,1
"Девочки привет! Обращение к мастерам маникюра! Скажите пожалуйста, вы на Бали везли лампу, аппарат для маникюра и для обеззараживания и прочее или там это всё можно купить? И если кто жил в Тае, может знаете, там как вообще? Тоже можно ли купить или всё везти с собой из Москвы?",0,1
"Т.е. прямо сейчас где-то стоит машина, которую окружили люди, чтобы те не уехали (зачем??)? При этом рядом стоит полиция и ничего не делает?
Сюр какой-то. 
Где они сейчас стоят? Может, поможем товарищам уехать?",1,0
