id,text,label
6,"Ребят,а кто-то может сориентировать по цене однушек, я одна девушка с котиком😁 и реально ли найти что-то до 500$ или около того?",1
18,"Кто нибудь знает, в каком формате тут нужно делать резюме?",1
39,"Спасибо огромное за ответ. Скажите, какие расценки в среднем? Скоро планирую прилететь. Опыт большой. Продающие тексты, посты, SEO, знаю схемы запусков и особенности текстов для разных соц.сетей.",1
64,По поводу самозанятого и ИП. Про жить больше 193 дня это на ИП тоже распространяется? Или только для самозанятых?,1
301,"Добрый вечер, может кто-нибудь посоветует местное digital агентство, специализирующееся на проектировании и дизайне сложных интерфейсов?",1
310,"Всем привет.
Коллеги может кто подскажет. Получил сертификат ЭЦП в центре госуслуг в Ташкенте. Но он никак не хочет устанавливаться на MacOS. Видимо алгоритм шифрования Узбекского ГОСТа. Никто не сталкивался?",1
446,"нужен временный vpn  из  🇺🇿 
для проверки работы 
как его сделать? можно на день",1
659,подскажите а у всех операторов если симка на нерезиденте она не включается в РФ или мне так подвезло ?,1
783,"‼️ Онлайн конвертация для нерезидентов от Ravnaq Bank

Я писала как легко открыть карту в Узбекистане. И о том, что онлайн конвертации для нерезидентов у крупных банков нет. 

Но эта функция оказалась у Ravnaq банк и разработали они ее давно. Работает она только с Тинькофф, на данный момент. 

Что нужно сделать? 

🔺 Необходимо как и везде - лично прийти в банк, чтобы открыть пластиковую карту Visa/MasterCard и скачать приложение RBK Mobile.
🔺 В приложении откройте виртуальную карту Humo и в приложении Tinkoff сделайте перевод на карту Humo, выбрав из списка Ravnaq Bank;
🔺  На странице виртуальной карты Humo нажмите на кнопку «Конвертация». Выберите карту и нужную сумму и конвертируйте на Visa/MasterCard;
🔺 Чтобы открыть счёт и вывести деньги - в меню нужно выбрать вкладку «Счета» и открыть в валюте на выбор - UZS, RUB, USD, EUR, далее совершить перевод по номеру счета через приложение своего банка на счёт в приложении RBK Mobile.",1
810,"Привет, не знаете, можно ли где-то взять монитор напрокат?",1
824,"А есть кто хотел бы собраться где нибудь посидеть, пообщаться (можно и про IT), познакомиться?

Я если что, занимаюсь фронтендом 🙂",1
830,"Коллеги, посоветуете какой-то сервис которым можно отправить вещи из РФ в Ташкент? Все детские книги и игрушки с собой взять на получается :-)",1
836,А что там по цене у них? За кг берут или за объём?,1
1030,"Подскажите, пожалуйста, как там скайп сейчас работает? Есть проблемы или уже нет?",1
1048,Для ИП нужен расчётный счёт или хватит обычного для физлица?,1
1126,"Добрый день!
Ребята, может кто сталкивался. Есть подписка на vpn CyberGhoct при использовании вообще блокирует интернет местный. Может кто сталкивался как решить проблему с vpn ?",1
1152,"Всем привет!
Есть ли у кого-нибудь опыт использования роутеров а-ля MikroTik LtAP mini LTE kit в Узбекситане?
Это роутер на две симки, который позволяет подключаться к LTE/3g и раздает Wi-Fi.
В РФ он у меня в рюкзаке постоянно с собой, очень часто выручает.",1
1185,"Привет!
Сейчас с ПЦР можно заехать?",1
1269,"Всем, привет. Не возникает ли проблем в Узбекистане с подключением vpn через Cisco AnyConnect Client?",1
1276,"Ребята, кто знает где валюту можно снять с белорусской визы?",1
1460,Нужно ли разрешение на въезд от одного из родителей для несовершеннолетних детей?,1
1473,Справки о прививках? Или ещё какие-то могут понадобиться?,1
1480,"всем здравствуйте, коллеги, кто знает среднюю зп в Узбекистане на системного администратора?",1
1569,"Всем доброго вечера. Если кто то в теме, есть в Узбекситане VPS/VDS хостинг 5 GHz?",1
1574,"Всем привет, в Узбекистане dns от гугла не работает? Не работает корпоративный впн тут, в России все отлично 👀",1
1618,У кого-нибудь были сложности с отправкой денег от работодателя из Европы из-за вашего гражданства РФ? Есть какие-то советы как избежать пристального внимания compliance проверки?,1
